,Name,key
822,Fullsuit Belgian-Style Brown Ale,373
823,D’Tango Unchained,374
824,Winter Koninck,375
825,Tongerlo 6 Dubbel Bruin,376
826,Ganache,377
827,Bière De Noël,378
828,Solenna,379
829,Abbey Ale,380
830,St. EADman,381
831,Trooper Hallowed,382
832,Leffe De Noël,383
833,Gruut Belgian Amber Ale,384
834,Haviken,385
835,Grotten Sante,386
836,Mushhushshu,387
837,Coffee Navette,388
838,Proletary Ale,389
839,Black Jack (Bourbon Barrel Aged),390
840,La Rullés Brune (Bière De Gaume),391
841,Navette,392
842,La Petite Mort,393
843,Leffe Rossa,394
844,La Brea Brown,395
845,North By Northwest Okanogan Black Ale,396
846,Special 608 Belgian Amber,397
847,Valeir Donker,398
848,Blind Ambition,399
849,Bean Counter,400
850,Newcastle Brown Ale,401
851,Nut Brown AleSamuel Smith Old Brewery (Tadcaster),402
852,Maduro Brown Ale,403
853,Turbodog,404
854,Southern Pecan,405
855,Fat Squirrel Ale,406
856,Cubano-Style Espresso Brown Ale,407
857,Hexnut,408
858,Nut Brown Ale,409
859,Downtown Brown,410
860,Winter Ale,411
861,Georgia Brown,412
862,Sticky Toffee Pudding,413
863,Harvest,414
864,Boffo Brown Ale,415
865,Oatmeal Raisin Cookie Brown Ale,416
866,Rugged Trail Nut Brown Ale,417
867,Black Toad Dark Ale,418
868,Brown Ale,419
869,Brewhouse Brown Ale,420
870,The Brown Note,421
871,Nut Brown Ale,422
872,Pig's Ear Brown Ale,423
873,Bar Harbor Real Ale,424
874,Chomolungma,425
875,Nut Brown Ale,426
876,Woodmaster,427
877,Bad Penny,428
878,Euforia,429
879,Brown Ale,430
880,Brunette Nut Brown Ale,431
881,Nut Brown Ale,432
882,Brown Ale,433
883,Truck Stop Honey Brown Ale,434
884,Brown Eyed Squirrel,435
